month,workout_worldwide
2018-03-01,59
2018-04-01,61
2018-05-01,57
2018-06-01,56
2018-07-01,51
2018-08-01,58
2018-09-01,50
2018-10-01,49
2018-11-01,47
2018-12-01,48
2019-01-01,64
2019-02-01,63
2019-03-01,55
2019-04-01,54
2019-05-01,53
2019-06-01,56
2019-07-01,56
2019-08-01,54
2019-09-01,49
2019-10-01,47
2019-11-01,47
2019-12-01,48
2020-01-01,63
2020-02-01,60
2020-03-01,56
2020-04-01,100
2020-05-01,80
2020-06-01,71
2020-07-01,66
2020-08-01,62
2020-09-01,58
2020-10-01,55
2020-11-01,48
2020-12-01,54
2021-01-01,71
2021-02-01,62
2021-03-01,63
2021-04-01,62
2021-05-01,58
2021-06-01,61
2021-07-01,56
2021-08-01,55
2021-09-01,51
2021-10-01,50
2021-11-01,49
2021-12-01,47
2022-01-01,69
2022-02-01,61
2022-03-01,57
2022-04-01,54
2022-05-01,56
2022-06-01,58
2022-07-01,51
2022-08-01,54
2022-09-01,49
2022-10-01,46
2022-11-01,47
2022-12-01,44
2023-01-01,62
2023-02-01,57
2023-03-01,55
